date,symbol,open,high,low,close,adjusted_close,volume,source,updated_at,fetched_at,adjusted_status,data_quality_status,data_quality_flag
2004-11-18,GLD,44.43,44.490002,44.07,44.380001,44.380001,5992000,existing_local_ohlcv,,,,existing,
2004-11-19,GLD,44.490002,44.919998,44.470001,44.779999,44.779999,11655300,existing_local_ohlcv,,,,existing,
2004-11-22,GLD,44.75,44.970001,44.740002,44.950001,44.950001,11996000,existing_local_ohlcv,,,,existing,
2004-11-23,GLD,44.880001,44.919998,44.720001,44.75,44.75,3169200,existing_local_ohlcv,,,,existing,
2004-11-24,GLD,44.93,45.049999,44.790001,45.049999,45.049999,6105100,existing_local_ohlcv,,,,existing,
2004-11-26,GLD,45.25,45.599998,45.060001,45.290001,45.290001,3097700,existing_local_ohlcv,,,,existing,
2004-11-29,GLD,45.099998,45.5,45.080002,45.400002,45.400002,3759000,existing_local_ohlcv,,,,existing,
2004-11-30,GLD,45.369999,45.41,44.82,45.119999,45.119999,3857200,existing_local_ohlcv,,,,existing,
2004-12-01,GLD,45.279999,45.59,45.259998,45.380001,45.380001,2037500,existing_local_ohlcv,,,,existing,
2004-12-02,GLD,45.549999,45.57,44.68,44.950001,44.950001,6457800,existing_local_ohlcv,,,,existing,
2004-12-03,GLD,45.040001,46.0,44.799999,45.599998,45.599998,4218300,existing_local_ohlcv,,,,existing,
2004-12-06,GLD,45.389999,45.470001,45.110001,45.169998,45.169998,3102400,existing_local_ohlcv,,,,existing,
2004-12-07,GLD,45.299999,45.32,45.07,45.110001,45.110001,3797300,existing_local_ohlcv,,,,existing,
2004-12-08,GLD,43.799999,44.02,43.360001,44.009998,44.009998,6148600,existing_local_ohlcv,,,,existing,
2004-12-09,GLD,43.75,43.900002,43.200001,43.779999,43.779999,3553400,existing_local_ohlcv,,,,existing,
2004-12-10,GLD,43.369999,43.599998,43.310001,43.439999,43.439999,2464300,existing_local_ohlcv,,,,existing,
2004-12-13,GLD,43.610001,44.009998,43.509998,43.91,43.91,1445100,existing_local_ohlcv,,,,existing,
2004-12-14,GLD,43.759998,43.799999,43.509998,43.549999,43.549999,2240600,existing_local_ohlcv,,,,existing,
2004-12-15,GLD,44.099998,44.169998,43.919998,43.990002,43.990002,2641400,existing_local_ohlcv,,,,existing,
2004-12-16,GLD,43.990002,44.049999,43.580002,43.68,43.68,3269800,existing_local_ohlcv,,,,existing,
2004-12-17,GLD,43.93,44.220001,43.779999,44.189999,44.189999,1889300,existing_local_ohlcv,,,,existing,
2004-12-20,GLD,44.330002,44.369999,44.130001,44.34,44.34,1942100,existing_local_ohlcv,,,,existing,
2004-12-21,GLD,44.130001,44.240002,44.049999,44.220001,44.220001,1373400,existing_local_ohlcv,,,,existing,
2004-12-22,GLD,44.200001,44.23,43.889999,44.02,44.02,2705800,existing_local_ohlcv,,,,existing,
2004-12-23,GLD,44.169998,44.349998,44.049999,44.27,44.27,639800,existing_local_ohlcv,,,,existing,
2004-12-27,GLD,44.290001,44.560001,44.27,44.48,44.48,2643500,existing_local_ohlcv,,,,existing,
2004-12-28,GLD,44.419998,44.470001,44.290001,44.369999,44.369999,773200,existing_local_ohlcv,,,,existing,
2004-12-29,GLD,43.919998,44.02,43.349998,43.66,43.66,5632200,existing_local_ohlcv,,,,existing,
2004-12-30,GLD,43.5,43.880001,43.490002,43.830002,43.830002,1289600,existing_local_ohlcv,,,,existing,
2004-12-31,GLD,43.849998,43.939999,43.73,43.799999,43.799999,531600,existing_local_ohlcv,,,,existing,
2005-01-03,GLD,42.98,43.169998,42.740002,43.02,43.02,4750400,existing_local_ohlcv,,,,existing,
2005-01-04,GLD,42.799999,42.91,42.459999,42.740002,42.740002,3456800,existing_local_ohlcv,,,,existing,
